This is Ipopt version 3.13.4, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:     1092
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:       78
                     variables with only lower bounds:        0
                variables with lower and upper bounds:       75
                     variables with only upper bounds:        0
Total number of equality constraints.................:       14
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.0000000e+00 1.92e-01 0.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.0000000e+00 1.77e-01 1.34e+02  -0.9 8.46e-01    -  4.96e-01 5.09e-02f  1
   2  1.0000000e+00 1.29e-01 5.28e+01   0.1 1.84e+00    -  4.51e-01 8.21e-02f  1
   3  1.0000000e+00 4.99e-02 1.47e+16  -1.1 2.37e-01    -  9.54e-01 1.00e+00f  1
   4  1.0000000e+00 2.56e-01 2.43e+19  -1.6 1.33e+00    -  7.49e-01 1.00e+00f  1
   5  1.0000000e+00 6.76e+01 1.12e+18  -1.4 9.70e-01    -  1.00e+00 1.00e+00f  1
   6  1.0000000e+00 6.50e+01 2.79e+19  -1.4 2.95e+01    -  2.15e-02 3.51e-02h  2
   7  1.0000000e+00 6.86e+01 5.40e+22  -1.4 2.86e+02    -  4.21e-02 1.17e-02h  3
   8  1.0000000e+00 6.92e+01 5.06e+22  -1.4 2.51e+01    -  1.32e-01 6.02e-03h  4
   9  1.0000000e+00 6.93e+01 5.03e+22  -1.4 5.84e+01    -  2.47e-02 5.67e-04h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.0000000e+00 6.96e+01 4.30e+22  -1.4 5.76e+01    -  1.15e-02 1.15e-02s 16
  11  1.0000000e+00 6.97e+01 3.74e+22  -1.4 1.74e+01    -  2.38e-02 2.38e-02s 16
  12  1.0000000e+00 6.96e+01 1.82e+22  -1.4 2.51e+01    -  4.60e-02 4.60e-02s 16
  13r 1.0000000e+00 6.96e+01 9.99e+02   1.2 0.00e+00    -  0.00e+00 0.00e+00R  1
  14r 1.0000000e+00 2.88e+01 3.74e+03   0.7 1.71e+04    -  1.58e-02 9.90e-04f  1
  15r 1.0000000e+00 3.28e+01 7.82e+07  -1.4 2.42e+02    -  1.66e-02 1.66e-02f  1
  16r 1.0000000e+00 9.74e+01 2.34e+07   0.1 1.45e+01    -  1.00e+00 3.34e-02f  1
  17r 1.0000000e+00 3.54e+01 6.62e+04  -0.2 2.95e-01    -  1.00e+00 9.94e-01f  1
  18r 1.0000000e+00 1.77e+01 7.77e+05  -1.1 1.48e+00    -  1.00e+00 1.00e+00f  1
  19  1.0000000e+00 6.82e+00 1.82e+17  -1.4 9.17e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.0000000e+00 1.21e+01 1.82e+17  -1.4 1.26e+00    -  7.04e-01 7.07e-04h 10
  21  1.0000000e+00 1.68e+01 1.03e+18  -1.4 1.96e+00    -  5.55e-01 1.00e+00H  1
  22  1.0000000e+00 1.68e+01 1.03e+18  -1.4 4.19e+00    -  1.00e+00 1.71e-06h 18
  23  1.0000000e+00 1.36e+01 1.00e+18  -1.4 2.77e+00    -  1.00e+00 5.82e-03h  7
  24  1.0000000e+00 7.29e+00 7.49e+17  -1.4 7.04e-01    -  8.85e-01 2.50e-01h  3
  25  1.0000000e+00 1.39e+01 8.65e+15  -1.4 3.80e-01    -  1.00e+00 1.00e+00h  1
  26  1.0000000e+00 9.40e+00 7.46e+15  -1.4 2.73e-01    -  1.00e+00 1.00e+00h  1
  27  1.0000000e+00 3.52e+01 2.55e+17  -1.4 4.33e-01    -  1.00e+00 1.00e+00h  1
  28  1.0000000e+00 3.42e+01 2.30e+17  -1.4 5.00e-01    -  1.00e+00 1.00e+00h  1
  29  1.0000000e+00 2.97e+01 2.98e+17  -1.4 1.31e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.0000000e+00 1.39e+01 3.71e+19  -1.4 1.04e+00    -  1.00e+00 1.00e+00h  1
  31  1.0000000e+00 4.74e+01 2.93e+20  -1.4 1.34e+00    -  1.00e+00 1.00e+00h  1
  32  1.0000000e+00 7.99e+01 9.05e+19  -1.4 3.63e+00    -  1.00e+00 1.00e+00h  1
  33  1.0000000e+00 4.64e+01 6.64e+20  -1.4 4.16e+00    -  1.00e+00 1.00e+00h  1
  34  1.0000000e+00 1.43e+01 1.96e+20  -1.4 1.07e+00    -  1.00e+00 1.00e+00h  1
  35  1.0000000e+00 2.69e+01 9.51e+21  -1.4 9.56e-01    -  1.00e+00 1.00e+00h  1
  36  1.0000000e+00 4.44e+01 2.87e+15  -1.4 2.51e-02    -  1.00e+00 1.00e+00h  1
  37  1.0000000e+00 1.72e+01 2.85e+16  -1.4 2.77e-02    -  1.00e+00 1.00e+00h  1
  38  1.0000000e+00 1.19e+02 9.12e+15  -1.4 2.47e-02    -  1.00e+00 1.00e+00h  1
  39  1.0000000e+00 4.38e+02 6.49e+12  -1.4 1.54e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.0000000e+00 8.83e+01 2.06e+12  -1.4 2.24e-02    -  1.00e+00 1.00e+00h  1
  41  1.0000000e+00 4.60e+01 5.60e+11  -1.4 1.21e-02    -  1.00e+00 1.00e+00h  1
  42  1.0000000e+00 4.38e+01 1.02e+13  -1.4 6.90e-02    -  1.00e+00 1.00e+00h  1
  43  1.0000000e+00 1.14e+02 2.45e+13  -1.4 1.37e-02    -  1.00e+00 1.00e+00h  1
  44  1.0000000e+00 3.30e+01 1.89e+07  -1.4 8.16e-03    -  1.00e+00 1.00e+00h  1
  45  1.0000000e+00 2.20e+01 1.55e+08  -1.4 1.33e-02    -  1.00e+00 1.00e+00h  1
  46  1.0000000e+00 3.28e+02 1.48e+10  -1.4 2.08e-02    -  1.00e+00 1.00e+00h  1
  47  1.0000000e+00 3.60e+01 1.90e+09  -1.4 1.68e-02    -  1.00e+00 1.00e+00h  1
  48  1.0000000e+00 7.60e+01 4.23e+06  -1.4 1.32e-02    -  1.00e+00 1.00e+00h  1
  49  1.0000000e+00 2.03e+01 1.97e+03  -1.4 1.32e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.0000000e+00 2.35e+01 1.36e+01  -1.4 7.23e-03    -  1.00e+00 1.00e+00h  1
  51  1.0000000e+00 1.58e+01 1.29e+04  -1.4 1.20e-02    -  1.00e+00 1.00e+00h  1
  52  1.0000000e+00 9.52e+01 3.50e+05  -1.4 3.24e-04    -  1.00e+00 1.00e+00h  1
  53  1.0000000e+00 8.15e+01 1.46e+04  -1.4 7.34e-04    -  1.00e+00 1.00e+00h  1
  54  1.0000000e+00 2.17e+02 1.34e+02  -1.4 4.04e-04    -  1.00e+00 1.00e+00h  1
  55  1.0000000e+00 4.51e+01 2.82e+01  -1.4 6.49e-03    -  1.00e+00 1.00e+00h  1
  56  1.0000000e+00 1.86e+02 1.40e+02  -1.4 1.20e-02    -  1.00e+00 1.00e+00h  1
  57  1.0000000e+00 5.85e+01 4.04e+02  -1.4 1.79e-02    -  1.00e+00 1.00e+00h  1
  58  1.0000000e+00 8.21e+00 9.24e+00  -1.4 1.50e-02    -  1.00e+00 1.00e+00h  1
  59  1.0000000e+00 5.12e+01 2.87e+03  -1.4 1.77e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.0000000e+00 8.53e+02 2.50e+05  -1.4 3.55e-01    -  1.00e+00 1.00e+00h  1
  61  1.0000000e+00 1.67e+01 1.15e+06  -1.4 5.93e-01    -  1.00e+00 1.00e+00h  1
  62  1.0000000e+00 1.24e+01 4.71e+06  -1.4 1.53e+00    -  1.00e+00 6.25e-02h  5
  63  1.0000000e+00 1.88e+01 1.48e+10  -1.4 8.14e-01    -  1.00e+00 1.00e+00h  1
  64  1.0000000e+00 2.75e+00 4.21e+05  -1.4 1.76e+00    -  7.63e-01 7.71e-01h  1
  65  1.0000000e+00 1.47e+00 1.39e+04  -1.4 3.83e+00    -  4.98e-01 4.84e-01h  1
  66  1.0000000e+00 1.46e+00 1.45e+04  -1.4 7.23e+00    -  2.67e-01 2.94e-02h  1
