id,phi0,epsr,epsv,thetasf,rp_kep,ra_kep,alpha,ra,dt1,dt2,x_lpo,y_lpo,z_lpo,xdot_lpo,ydot_lpo,zdot_lpo,m_lpo,x_ra,y_ra,z_ra,xdot_ra,ydot_ra,zdot_ra,m_ra,x_rp,y_rp,z_rp,xdot_rp,ydot_rp,zdot_rp,m_rp,x_lr,y_lr,z_lr,xdot_lr,ydot_lr,zdot_lr,m_lr,t_lr,tof,lfb
1,0,1.00E-05,1.00E-05,2.722713633,0.000440162,4.180967705,-0.001391865,1.122637726,0,18.00641756,389.8468181,0.456620453,6.25E-23,-0.489724637,1.09991423,0,1,389.8468181,0.456620453,6.25E-23,-0.489724637,1.09991423,0,1,388.8321458,-0.006171372,0,0.093245569,66.99319509,0,1.038497972,387.9266712,0.054300534,6.07E-23,-0.766531152,0.061333512,1.49E-22,1.037032131,17.40837187,18.00641756,1
2,0,1.00E-05,1.00E-05,3.036872898,0.00044143,2.350084198,-0.530850761,2.036950534,7.453029385,8.792611783,389.9377262,0.117350375,6.25E-23,-0.125863618,1.197413831,0,1,387.7736574,1.746923296,1.72E-22,-0.229912221,-0.129480983,2.30E-23,1.012631067,388.8302384,0.008340894,0,33.86634716,57.68801072,0,1.034182217,388.8302384,0.008340894,-3.84E-26,33.86634716,57.68801073,-1.44E-19,1.034182217,16.24564117,16.24564117,0
3,0.041887902,1.00E-05,1.00E-05,0.104719755,0.00716187,2.340678105,1.89321621,2.260361529,8.440799618,9.447691147,387.7021172,0.094255312,8.22E-23,-0.106887678,-1.191581173,-6.79E-23,1,388.359248,-2.212645219,5.33E-23,0.213415346,-0.05114645,5.86E-23,1.015052143,388.8118738,0.016656391,0,-15.72924945,-5.254783586,0,1.038208927,388.8118738,0.016656391,1.93E-26,-15.72924945,-5.254783586,-1.53E-20,1.038208927,17.88849076,17.88849076,0
4,0.041887902,1.00E-05,1.00E-05,2.827433388,0.000543366,3.618315077,-0.087912033,1.123083642,0,17.95467979,389.8819441,0.369081186,8.22E-23,-0.387012974,1.132038704,-6.79E-23,1,389.8819441,0.369081186,8.22E-23,-0.387012974,1.132038704,-6.79E-23,1,388.8318794,-0.006803247,0,5.29383258,60.06217296,0,1.03837116,387.9437675,0.131498046,1.07E-22,-0.785582918,0.125889546,1.97E-22,1.036955433,17.37708002,17.95467979,1
5,0.041887902,1.00E-05,1.00E-05,3.246312409,0.007413252,2.28376419,-1.286124568,2.272457528,8.461581265,9.422112263,389.9403601,-0.094255312,8.22E-23,0.106887678,1.191581173,-6.79E-23,1,389.3107312,2.219112496,4.47E-23,-0.211679474,0.049776936,5.86E-23,1.01510308,388.8304599,-0.01694687,0,15.64271482,4.577359032,0,1.038197169,388.8304599,-0.01694687,1.34E-25,15.64271482,4.577359032,-1.40E-20,1.038197169,17.88369353,17.88369353,0
6,0.083775804,1.00E-05,1.00E-05,0,0.000857979,2.745211076,2.560933988,1.124625734,0,18.10412616,387.697486,-0.04430701,9.71E-23,0.030734647,-1.175289113,-1.76E-22,1,387.697486,-0.04430701,9.71E-23,0.030734647,-1.175289113,-1.76E-22,1,388.8143911,0.010961505,0,-26.32024481,-40.11558243,0,1.038737461,389.5171433,-0.525960446,1.36E-22,0.667618249,-0.498135836,2.60E-22,1.037391277,17.55489908,18.10412616,1
7,0.083775804,1.00E-05,1.00E-05,3.141592654,0.000388505,7.313386948,-0.59076124,1.124625734,0,18.13198886,389.9449913,0.04430701,9.71E-23,-0.030734647,1.175289113,-1.76E-22,1,389.9449913,0.04430701,9.71E-23,-0.030734647,1.175289113,-1.76E-22,1,388.827419,-0.010861758,0,39.71920224,59.22416466,0,1.038805754,388.1185671,0.531360957,1.35E-22,-0.646938286,0.504332287,2.72E-22,1.037428095,17.56992071,18.13198886,1
8,0.20943951,1.00E-05,1.00E-05,2.722713633,0.006673788,2.037229077,0.269852644,2.122006968,7.172583287,9.242598727,389.8260622,0.536045188,-1.35E-23,-0.464607223,0.97657156,-7.41E-22,1,386.7095659,0.209169397,-1.13E-22,-0.028561913,-0.26244022,-2.71E-22,1.011943679,388.8348419,0.011587995,0,-4.579382041,16.55600259,0,1.034597771,388.8348419,0.011587995,-1.28E-24,-4.579382041,16.55600259,6.44E-20,1.034597771,16.41518201,16.41518201,0
9,0.20943951,1.00E-05,1.00E-05,2.827433388,0.001403443,3.770984902,0.174356836,2.12346007,7.181425745,9.307846156,389.8765897,0.428076012,-1.35E-23,-0.359982532,1.019786478,-7.41E-22,1,386.7515095,0.474661732,-5.11E-23,-0.059612115,-0.245752429,-2.71E-22,1.011965352,388.8313755,0.008669126,0,-6.507564514,36.94427276,0,1.034779369,388.8313755,0.008669126,-2.79E-25,-6.507564514,36.94427276,3.06E-19,1.034779369,16.4892719,16.4892719,0
10,0.20943951,1.00E-05,1.00E-05,2.932153143,0.000604701,7.672300252,0.071730654,2.09314536,7.097218705,9.234974675,389.9155545,0.315416745,-1.35E-23,-0.251413796,1.051828402,-7.41E-22,1,386.864748,0.743909861,2.49E-23,-0.095544479,-0.237622603,-2.73E-22,1.011758956,388.8302472,0.008817481,0,-4.096425952,57.01046315,0,1.034394361,388.8302472,0.008817481,-1.13E-25,-4.096425953,57.01046315,7.33E-19,1.034394361,16.33219338,16.33219338,0
11,0.20943951,1.00E-05,1.00E-05,5.864306287,0.00658255,2.04625595,-2.864634188,2.128302581,7.176137773,9.241715487,387.8164151,-0.536045188,-1.35E-23,0.464607223,-0.97657156,-7.41E-22,1,390.9412302,-0.187903639,-1.32E-22,0.026017801,0.260783789,-2.70E-22,1.011952391,388.8077117,-0.011590956,0,4.729487602,-16.63764986,0,1.034604318,388.8077117,-0.011590956,-1.24E-24,4.729487602,-16.63764986,6.51E-20,1.034604318,16.41785326,16.41785326,0
12,0.20943951,1.00E-05,1.00E-05,5.969026042,0.001356123,3.915354464,-2.960747254,2.129989245,7.177620529,9.320571774,387.7658876,-0.428076012,-1.35E-23,0.359982532,-1.019786478,-7.41E-22,1,390.9024647,-0.453158006,-7.21E-23,0.055764739,0.245348944,-2.70E-22,1.011956025,388.8110807,-0.008597038,0,6.863935209,-37.5400374,0,1.034801233,388.8110807,-0.008597038,-2.66E-25,6.86393521,-37.5400374,3.16E-19,1.034801233,16.4981923,16.4981923,0
13,0.20943951,1.00E-05,1.00E-05,6.073745797,0.000550648,11.42682866,-3.060523283,2.099970848,7.07599567,9.289383739,387.7269228,-0.315416745,-1.35E-23,0.251413796,-1.051828402,-7.41E-22,1,390.7936445,-0.720758523,-5.51E-25,0.08911461,0.240051508,-2.72E-22,1.011706937,388.812019,-0.008556562,0,4.850581966,-59.70135026,0,1.034475702,388.812019,-0.008556562,-9.92E-26,4.850581969,-59.70135026,8.10E-19,1.034475702,16.36537941,16.36537941,0
14,0.251327412,1.00E-05,1.00E-05,1.570796327,0.016515805,2.920431902,2.22351982,2.428972416,13.23455513,4.335301924,388.7386984,1.143500256,-1.62E-22,-1.049477891,-0.019583024,-9.82E-22,1,389.9556821,-2.147776796,2.16E-22,0.091368823,0.04409384,2.70E-22,1.026801888,388.8175345,0.023494146,0,-8.664489976,-6.624095775,0,1.037427939,388.8175345,0.023494146,-2.46E-25,-8.664489976,-6.624095775,-3.41E-20,1.037427939,17.56985706,17.56985706,0
