id,phi0,epsr,epsv,thetaf,ra,rp,dt1,dt2,x_ra,x_rp,tof,m0,lfb
1,0.0,1.0e-6,1.0e-6,0.0,0.027889099600721994,4.223428576206388,13.949999999997708,9.405000000007853,"[390.1657349833057, -4.011590403108867, 8.490041925577977e-23, -0.10299963571896041, -0.03428863961011042, 2.90342227026927e-23, 1.0]","[388.79751286083854, 0.014659071102626698, 3.237435787962404e-24, -6.95836324005454, -6.121850913184742, -5.103288105174558e-21, 1.0]",23.35500000000556,1.0,0
2,0.0,1.0e-6,1.0e-6,2.8902652413026098,0.022644863668831117,3.977399558758808,14.690999999997297,10.517000000010528,"[385.859799841297, 2.673258730815685, 1.5402678574144904e-22, 0.11815657155214392, 0.13096685588658047, 3.145387369629244e-23, 1.0]","[388.84329620637635, -0.005123911200079351, 3.739860704884718e-24, 1.6720848932387318, -10.534872049950192, -6.4575478626948135e-21, 1.0]",25.208000000007825,1.0,0
3,0.0,1.0e-6,1.0e-6,3.015928947446201,0.020390192497350478,3.9753028351043844,13.778999999997803,9.360000000007494,"[386.536797039172, 3.2625295630530307, 1.59555002617909e-22, 0.11184259163760922, 0.077939100589468, 2.966183768673202e-23, 1.0]","[388.8388964022951, 0.010196276827445713, 5.215541716548093e-24, -0.733103110028198, -14.508379608370678, -1.2882516577281585e-20, 1.0]",23.139000000005296,1.0,0
4,0.0,1.0e-6,1.0e-6,3.141592653589793,0.032921240498488054,4.2292666144741995,13.934999999997716,9.395000000007814,"[387.50044152342997, 4.025394619079025, 8.117222626097834e-23, 0.1007671738966572, 0.03283640579695227, 2.9027952500115e-23, 1.0]","[388.84850763191776, -0.018444815162877035, 3.087585601563318e-24, 6.178211913823994, 5.590861480567544, -4.129153734238316e-21, 1.0]",23.33000000000553,1.0,0
5,0.0,1.0e-6,1.0e-6,6.031857894892402,0.013668517449214877,3.95723119780582,14.644999999997323,10.29900000001018,"[391.745993470314, -2.683616148076179, 1.5697533999134101e-22, -0.11245349150850781, -0.12255167308678652, 3.1156664063339026e-23, 1.0]","[388.80768097975505, -0.0017371515707563494, 8.566399453418138e-24, -5.894295992835453, 10.096960848828989, -7.50663976044217e-21, 1.0]",24.944000000007502,1.0,0
6,0.1256637061435917,1.0e-6,1.0e-6,2.8902652413026098,0.005718435050351997,3.5825198979320114,13.630999999997885,8.603000000006306,"[386.1197615013344, 2.364066752879376, 7.934943073299687e-22, 0.042820451279759794, 0.04872563493940319, 1.134435661603134e-23, 1.0]","[388.82677473885155, 0.0014325928348144917, 9.730570400165178e-24, 7.469804293093705, 9.815174196001847, -1.710476081024983e-20, 1.0]",22.23400000000419,1.0,0
7,0.1256637061435917,1.0e-6,1.0e-6,6.031857894892402,0.012566485803056098,3.5865945371732546,13.69299999999785,8.644000000006466,"[391.53376198474973, -2.3584768914702163, 7.954486679759573e-22, -0.041137686229445344, -0.0471313652020864, 1.0317516172813175e-23, 1.0]","[388.80930196046523, -0.003928331352515744, 2.6707704992330802e-24, -4.8982928198555555, -10.525038866446195, -1.4342009541951678e-20, 1.0]",22.337000000004316,1.0,0
8,0.37699111843077515,1.0e-6,1.0e-6,3.392920065876976,0.12867053946743734,3.4134632894778387,11.389999999999127,7.577000000001071,"[387.50894734148966, 3.1382000458770007, -2.6775014178838264e-23, -0.027644440918271517, -0.011497564790754753, -7.244032751497594e-22, 1.0]","[388.8801512224913, -0.11439151026577479, -7.58585526125017e-22, 3.304952562838181, 2.074286504750119, -1.9274908782442255e-20, 1.0]",18.967000000000198,1.0,1
9,0.5026548245743668,1.0e-6,1.0e-6,1.5079644737231006,0.03869645451951471,3.8673525070581047,14.785999999997244,8.52300000000826,"[387.2979373276179, 3.553173623395379, 1.5485678859512706e-20, 0.06119487730376352, 0.026016622393217774, 1.9586007671859844e-22, 1.0]","[388.8539792548399, -0.020626899760914377, -2.1488388573730642e-22, 3.935578342010908, 4.864243180697603, -4.5166158271214314e-20, 1.0]",23.309000000005504,1.0,2
10,0.5026548245743668,1.0e-6,1.0e-6,4.649557127312893,0.05634593835678816,3.878471530269655,14.83099999999722,8.566000000008392,"[390.24341333913793, -3.6069579149116673, 1.5455714357141908e-20, -0.057745368549663056, -0.022581643400561686, 2.662764383721937e-22, 1.0]","[388.7748075688496, 0.031922070925861676, -2.8737894885175714e-22, -3.4384281019422067, -4.127919606332804, -3.5287797891925687e-20, 1.0]",23.39700000000561,1.0,2
11,0.6283185307179586,1.0e-6,1.0e-6,0.2513274122871834,0.1841360666810675,4.651908158166219,14.671999999997308,12.22300000001258,"[391.04160147633235, -4.101401749003994, -4.3371468091956356e-20, -0.20550321230091068, -0.1114285098916812, -1.5149209995540577e-21, 1.0]","[388.64695671839485, 0.05942975802994685, 1.6603987607746167e-21, 0.9645322212703542, 2.9654613689795433, 7.242441095460663e-20, 1.0]",26.895000000009887,1.0,0
12,0.6283185307179586,1.0e-6,1.0e-6,3.392920065876976,0.11480943331496266,4.578662317075979,14.390999999997463,11.350000000011013,"[386.7683124562848, 4.1061428869429495, -4.281640529225365e-20, 0.18767447442718932, 0.09380193636577863, -1.5047087893009662e-21, 1.0]","[388.91831411323517, -0.061298957694907105, 1.1116618012992333e-21, -1.8124813739137828, -3.677508351991821, 1.145971308588725e-19, 1.0]",25.741000000008476,1.0,0
13,1.0053096491487337,1.0e-6,1.0e-6,0.0,0.049765376499349215,4.154184033176242,13.780999999997801,9.228000000007336,"[390.08140984023316, -3.9644397535439557, 1.0226299902097053e-22, -0.08833092346076092, -0.02783487530656103, 3.040467810545623e-23, 1.0]","[388.7793407729585, 0.026854419025850493, 7.255974305600923e-25, -4.4328474107204725, -4.6181191638290064, -2.5756018689415255e-21, 1.0]",23.009000000005138,1.0,0
14,1.0053096491487337,1.0e-6,1.0e-6,2.8902652413026098,0.05447840322881719,3.9135781596153563,14.416999999997449,10.070000000009495,"[385.96661666572027, 2.694408191941927, 1.730099853902355e-22, 0.10754995542789979, 0.11380732996956501, 3.1918515033251643e-23, 1.0]","[388.8745619696789, -0.011158897114263322, 1.3211124949984568e-23, -1.3083061215525262, -6.604530634054489, 4.547363010668767e-21, 1.0]",24.487000000006944,1.0,1
15,1.0053096491487337,1.0e-6,1.0e-6,3.141592653589793,0.05724933484075934,4.160941938626398,13.771999999997806,9.230000000007323,"[387.5826022055693, 3.978138464045622, 9.845176528667621e-23, 0.08639922976978003, 0.026704523563591757, 3.04137560387009e-23, 1.0]","[388.8690402410853, -0.03150389047614117, 2.670559465045583e-25, 4.072410194611006, 4.32890869688631, -2.2238319032898995e-21, 1.0]",23.00200000000513,1.0,0
16,1.0053096491487337,1.0e-6,1.0e-6,6.031857894892402,0.023155238548955997,3.8950312272464975,14.382999999997468,9.869000000009189,"[391.6439822464488, -2.7008589016346907, 1.7561010265748966e-22, -0.10199538166088619, -0.10648171412160568, 3.162059052310857e-23, 1.0]","[388.79821930237375, 0.002504851412289807, 1.632765574246987e-24, 1.3188438870771, 13.220045501467933, -9.316701035623684e-21, 1.0]",24.252000000006657,1.0,0
17,1.1309733552923256,1.0e-6,1.0e-6,2.8902652413026098,0.07771784598777662,3.6171324583947526,13.81899999999778,8.838000000006927,"[386.0450947301813, 2.3328348753662063, 8.35247247546125e-22, 0.04892597657936555, 0.05796960666694621, 9.40481819361229e-24, 1.0]","[388.74352377845173, 0.0006788852954383072, 7.23259953408781e-23, 0.15193649703554382, -1.2680351976835535, 2.1706425342443143e-21, 1.0]",22.657000000004707,1.0,0
18,1.1309733552923256,1.0e-6,1.0e-6,6.031857894892402,0.014477690792325729,3.6226600723236295,13.888999999997742,8.85400000000707,"[391.6103077886342, -2.3268403089675975, 8.374191980961636e-22, -0.047328554396965566, -0.05654904622946626, 8.377746871838649e-24, 1.0]","[388.80835248062743, -0.0065992371387194135, 2.11248376492097e-24, -5.125542076255277, -13.221425718518049, -2.254366822609035e-20, 1.0]",22.743000000004812,1.0,0
